,Position,Player Name,Team Name,Player ID,BackNum,Foreign-Born Player,BirthDate,DebutYear,DebutTeam,Age,CareerYearAt23,Defense,BatPos,ThrowPos,Height(cm),Weight(kg),"SigningBonus(100M_KRW,USDtoKRW_1250)","Salary(100M_KRW,USDtoKRW_1250)",Season,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
10,타자,김민성,LG,77564,16,False,1988-12-17,2007,롯데,35,16,내야수,우,우,181.0,94.0,1.0,2.0,2023,0.249,112,316,273,34,68,11,0,8,103,41,2,1,25,7,58,7,0.377,0.326,8
11,타자,이재원,LG,68106,52,False,1999-07-17,2020,LG,25,3,외야수,우,우,192.0,105.0,1.0,0.7,2023,0.214,57,129,112,15,24,5,0,4,41,18,4,2,12,2,40,1,0.366,0.295,2
12,타자,손호영,LG,50150,33,False,1994-08-23,2014,시카고컵스,29,9,내야수,우,우,182.0,88.0,0.0,0.45,2023,0.205,27,45,44,8,9,0,0,1,12,6,2,1,1,0,12,5,0.273,0.222,5
13,타자,김주성,LG,66162,5,False,1998-01-30,2016,LG,26,7,내야수,우,우,180.0,81.0,1.0,0.35,2023,0.2,11,7,5,1,1,0,0,0,1,0,0,0,1,1,2,0,0.2,0.429,2
14,타자,서건창,LG,78168,58,False,1989-08-22,2008,LG,34,15,내야수,좌,우,176.0,84.0,0.0,0.5,2023,0.2,44,126,110,14,22,5,2,0,31,12,3,3,10,0,14,5,0.282,0.26,9
15,타자,허도환,LG,77243,30,False,1984-07-31,2007,두산,40,16,포수,우,우,176.0,90.0,0.0,1.0,2023,0.141,47,81,64,8,9,3,0,2,18,10,0,0,3,6,20,3,0.281,0.243,0
16,타자,김기연,LG,66112,45,False,1997-09-07,2017,LG,26,6,포수,우,우,178.0,106.0,0.7,0.4,2023,0.118,28,40,34,3,4,0,0,0,4,2,1,0,5,0,10,0,0.118,0.231,4
17,타자,김범석,LG,53144,55,False,2004-05-21,2023,LG,20,0,포수,우,우,178.0,110.0,2.5,0.33,2023,0.111,10,29,27,3,3,1,0,1,7,4,0,0,1,0,5,1,0.259,0.138,2
18,타자,최승민,LG,65905,62,False,1996-07-01,2017,상무,28,6,외야수,좌,우,181.0,73.0,0.0,0.4,2023,0.071,38,15,14,10,1,0,0,0,1,1,8,3,1,0,4,1,0.071,0.133,0
19,타자,송찬의,LG,68110,14,False,1999-02-20,2022,LG,25,1,내야수,우,우,182.0,77.0,0.5,0.36,2023,0.056,19,22,18,2,1,1,0,0,2,1,1,0,4,0,6,0,0.111,0.227,1
20,타자,김대현,LG,66145,12,False,1997-03-08,2016,LG,27,7,투수,우,우,188.0,100.0,2.7,0.57,2023,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
21,타자,박명근,LG,53139,39,False,2004-03-27,2023,LG,20,0,투수,우,우,174.0,75.0,1.1,0.65,2023,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
22,타자,오석주,LG,67116,31,False,1998-04-14,2019,LG,26,4,투수,우,우,180.0,74.0,0.6,0.4,2023,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
23,타자,이정용,LG,69134,31,False,1996-03-26,2019,LG,28,4,투수,우,우,185.0,83.0,2.0,2.4,2023,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
24,타자,전준호,LG,67123,32,False,1998-07-01,2019,LG,26,4,포수,우,우,181.0,80.0,0.3,0.33,2023,0.0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0
25,타자,최동환,LG,79140,13,False,1989-09-19,2009,LG,34,14,투수,우,우,184.0,83.0,1.2,1.3,2023,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
26,타자,김민혁,KT,64004,53,False,1995-11-21,2014,KT,28,9,외야수,좌,우,181.0,71.0,0.6,2.4,2023,0.297,113,448,397,68,118,20,3,3,153,41,11,4,36,3,48,4,0.385,0.356,4
27,타자,황재균,KT,76313,10,False,1987-07-28,2006,현대,37,17,내야수,우,우,183.0,96.0,0.6,10.0,2023,0.295,109,457,407,62,120,26,2,6,168,49,3,3,45,1,64,15,0.413,0.366,11
28,타자,정준영,KT,53058,58,False,2004-01-26,2023,KT,20,0,외야수,좌,좌,173.0,73.0,1.2,0.42,2023,0.292,34,55,48,6,14,2,0,0,16,6,0,0,3,0,11,1,0.333,0.333,1
29,타자,안치영,KT,67006,8,False,1998-05-29,2017,KT,26,6,외야수,좌,우,176.0,72.0,0.6,0.5,2023,0.29,76,136,124,20,36,3,1,0,41,9,7,1,6,2,35,1,0.331,0.331,2
30,타자,장성우,KT,78548,22,False,1990-01-17,2008,롯데,34,15,포수,우,우,187.0,100.0,2.0,5.0,2023,0.288,131,464,410,37,118,22,0,11,173,65,1,1,42,2,70,12,0.422,0.351,6
31,타자,박병호,KT,75125,59,False,1986-07-10,2005,LG,38,18,내야수,우,우,185.0,107.0,3.3,7.0,2023,0.283,132,493,431,53,122,15,0,18,191,87,2,0,46,8,114,9,0.443,0.357,5
32,타자,이호연,KT,68504,34,False,1995-06-03,2018,롯데,29,5,내야수,좌,우,177.0,87.0,0.6,0.85,2023,0.278,85,234,212,28,59,5,1,3,75,17,4,2,16,4,41,6,0.354,0.339,9
33,타자,배정대,KT,64166,27,False,1995-06-12,2014,LG,29,9,외야수,우,우,185.0,80.0,1.5,3.2,2023,0.277,97,361,311,48,86,16,0,2,108,38,13,3,38,3,76,2,0.347,0.356,1
34,타자,김상수,KT,79402,7,False,1990-03-23,2009,삼성,34,14,내야수,우,우,175.0,68.0,2.8,3.0,2023,0.271,129,512,443,58,120,19,1,3,150,56,5,6,55,3,68,9,0.339,0.353,6
35,타자,강백호,KT,68050,50,False,1999-07-29,2018,KT,25,5,내야수,좌,우,184.0,98.0,4.5,2.9,2023,0.265,71,271,238,32,63,10,1,8,99,39,3,0,31,0,55,1,0.416,0.347,1
36,타자,문상철,KT,64007,24,False,1991-04-06,2014,KT,33,9,외야수,우,우,184.0,85.0,1.3,1.1,2023,0.26,112,330,304,30,79,20,0,9,126,46,3,1,16,3,81,4,0.414,0.298,2
37,타자,오윤석,KT,64504,4,False,1992-02-24,2015,롯데,32,8,내야수,우,우,180.0,87.0,0.0,1.4,2023,0.251,82,223,199,24,50,13,1,4,77,17,3,1,13,5,44,7,0.387,0.313,2
38,타자,박민석,KT,69056,25,False,2000-04-13,2019,KT,24,4,내야수,우,우,180.0,77.0,0.7,0.31,2023,0.25,4,4,4,1,1,0,0,0,1,0,0,0,0,0,3,0,0.25,0.25,1
39,타자,조용호,KT,64868,23,False,1989-09-09,2017,SK,34,6,외야수,좌,우,170.0,75.0,0.0,1.5,2023,0.248,63,184,161,20,40,2,0,0,42,7,4,0,23,0,25,3,0.261,0.342,1
40,타자,홍현빈,KT,67005,31,False,1997-08-29,2017,KT,26,6,외야수,좌,우,174.0,70.0,0.9,0.45,2023,0.233,44,86,73,15,17,2,0,0,19,1,2,0,13,0,21,2,0.26,0.349,0
41,타자,김준태,KT,62558,44,False,1994-07-31,2013,롯데,30,10,포수,좌,우,175.0,91.0,0.0,1.0,2023,0.209,69,136,115,10,24,4,0,3,37,23,1,0,19,1,32,3,0.322,0.326,4
42,타자,신본기,KT,62556,56,False,1989-03-21,2012,롯데,35,11,내야수,우,우,179.0,88.0,1.2,1.3,2023,0.204,40,75,54,8,11,2,0,1,16,7,0,1,14,2,8,3,0.296,0.365,3
43,타자,박경수,KT,73113,6,False,1984-03-31,2003,LG,40,20,내야수,우,우,178.0,80.0,4.3,2.0,2023,0.2,107,221,185,12,37,13,0,1,53,12,0,0,30,1,46,2,0.286,0.315,4
44,타자,강현우,KT,50066,55,False,2001-04-13,2020,KT,23,3,포수,우,우,180.0,90.0,1.5,0.5,2023,0.194,53,111,103,11,20,6,0,1,29,11,0,1,6,1,17,3,0.282,0.245,2
45,타자,강민성,KT,69064,5,False,1999-12-08,2023,KT,24,0,내야수,우,우,180.0,85.0,0.6,0.36,2023,0.182,12,27,22,2,4,1,0,0,5,0,0,0,4,0,10,0,0.227,0.308,2
46,타자,장준원,KT,64115,16,False,1995-11-21,2014,LG,28,9,내야수,우,우,183.0,77.0,1.0,0.53,2023,0.172,69,104,87,10,15,2,1,1,22,10,3,0,12,1,25,1,0.253,0.277,2
47,타자,류현인,KT,53036,36,False,2000-11-08,2023,KT,23,0,내야수,좌,우,174.0,80.0,0.5,0.31,2023,0.13,17,24,23,6,3,0,0,0,3,3,0,0,1,0,4,0,0.13,0.167,1
48,타자,송민섭,KT,64012,12,False,1991-08-02,2015,KT,33,8,외야수,우,우,177.0,80.0,0.0,0.65,2023,0.13,69,25,23,6,3,0,0,0,3,0,3,1,1,1,8,0,0.13,0.2,0
49,타자,김민,KT,68043,11,False,1999-04-14,2018,KT,25,5,투수,우,우,185.0,88.0,3.0,0.5,2023,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
50,타자,김병준,KT,52002,57,False,2003-07-03,2023,KT,21,0,외야수,좌,우,175.0,80.0,0.3,0.31,2023,0.0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0
51,타자,김정민,SSG,53865,65,False,2004-03-07,2023,SSG,20,0,외야수,좌,좌,180.0,75.0,1.0,0.3,2023,0.5,8,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0.5,0
52,타자,에레디아,SSG,53827,27,True,1991-01-31,2023,SSG,33,12,외야수,우,좌,178.0,88.0,0.0,14.375,2023,0.323,122,523,473,76,153,29,0,12,218,76,12,8,39,9,75,13,0.461,0.385,5
53,타자,하재훈,SSG,69813,13,False,1990-10-29,2009,시카고컵스,33,14,외야수,우,우,182.0,90.0,0.0,1.0,2023,0.303,77,229,201,35,61,10,1,7,94,35,11,0,19,5,53,0,0.468,0.374,2
54,타자,최정,SSG,75847,14,False,1987-02-28,2005,SK,37,18,내야수,우,우,180.0,90.0,3.0,10.0,2023,0.297,128,552,471,94,140,31,0,29,258,87,7,3,59,15,87,12,0.548,0.388,13
55,타자,최항,SSG,62884,14,False,1994-01-03,2017,SK,30,6,내야수,좌,우,183.0,88.0,0.0,0.31,2023,0.286,21,35,28,3,8,1,0,1,12,6,0,0,5,0,12,1,0.429,0.382,4
56,타자,한유섬,SSG,62895,35,False,1989-08-09,2012,SK,35,11,외야수,좌,우,190.0,105.0,0.3,9.0,2023,0.273,109,388,333,29,91,15,2,7,131,55,2,1,34,12,81,3,0.393,0.355,4
57,타자,최지훈,SSG,50854,54,False,1997-07-23,2020,SK,27,3,외야수,좌,우,178.0,82.0,0.8,2.5,2023,0.268,117,503,462,65,124,19,8,2,165,30,21,2,29,3,50,3,0.357,0.315,3
58,타자,김성현,SSG,76802,6,False,1987-03-09,2006,SK,37,17,내야수,우,우,172.0,72.0,0.7,2.0,2023,0.268,112,354,310,35,83,14,0,1,100,27,4,1,29,0,36,6,0.323,0.328,14
59,타자,최준우,SSG,68868,7,False,1999-03-25,2018,SK,25,5,내야수,좌,우,176.0,78.0,0.7,0.45,2023,0.267,38,69,60,5,16,1,0,0,17,6,0,1,8,0,10,3,0.283,0.348,0
60,타자,박성한,SSG,67893,2,False,1998-03-30,2017,SK,26,6,내야수,좌,우,180.0,77.0,0.9,3.0,2023,0.266,128,529,459,53,122,19,0,9,168,47,4,1,58,1,56,7,0.366,0.347,19
61,타자,강진성,SSG,62925,49,False,1993-10-19,2012,NC,30,11,외야수,우,우,176.0,89.0,0.7,0.85,2023,0.261,58,145,134,10,35,6,1,3,52,17,0,0,6,3,20,2,0.388,0.306,1
62,타자,추신수,SSG,51817,17,False,1982-07-13,2000,시애틀,42,23,외야수,좌,좌,180.0,97.0,0.0,0.3,2023,0.254,112,462,382,65,97,17,1,12,152,41,6,4,65,13,79,8,0.398,0.379,0
63,타자,안상현,SSG,66864,10,False,1997-01-27,2016,SK,27,7,내야수,우,우,178.0,74.0,0.8,0.4,2023,0.241,58,66,58,10,14,3,0,0,17,2,3,1,5,0,15,1,0.293,0.302,2
64,타자,오태곤,SSG,60558,37,False,1991-11-18,2010,롯데,32,13,외야수,우,우,186.0,88.0,0.9,2.5,2023,0.239,123,305,272,37,65,14,1,7,102,28,20,1,18,4,67,6,0.375,0.293,6
65,타자,최상민,SSG,68805,23,False,1999-08-20,2022,SSG,25,1,외야수,좌,좌,178.0,75.0,0.0,0.32,2023,0.235,51,41,34,5,8,0,0,0,8,3,2,2,4,0,7,0,0.235,0.308,0
66,타자,최주환,SSG,76267,53,False,1988-02-28,2006,두산,36,17,내야수,좌,우,177.0,73.0,0.6,6.5,2023,0.235,134,478,426,48,100,24,0,20,184,63,0,0,44,4,94,6,0.432,0.31,9
67,타자,김찬형,SSG,66917,5,False,1997-12-29,2016,NC,26,7,내야수,우,우,182.0,83.0,0.5,0.5,2023,0.229,36,53,48,6,11,3,0,1,17,5,0,0,2,1,10,1,0.354,0.275,3
68,타자,김강민,SSG,71837,9,False,1982-09-13,2001,SK,41,22,외야수,우,우,182.0,87.0,1.1,1.1,2023,0.226,70,166,137,20,31,3,0,2,40,7,2,1,23,1,38,2,0.292,0.335,0
69,타자,김민식,SSG,62864,24,False,1989-06-28,2012,SK,35,11,포수,좌,우,180.0,80.0,1.4,1.5,2023,0.218,122,318,266,28,58,9,1,5,84,34,0,0,31,2,57,6,0.316,0.302,1
70,타자,전의산,SSG,50820,56,False,2000-11-25,2021,SK,23,2,내야수,좌,우,188.0,98.0,1.3,0.8,2023,0.201,56,153,134,11,27,6,0,4,45,21,0,2,15,3,40,1,0.336,0.294,4
71,타자,조형우,SSG,51865,20,False,2002-04-04,2021,SK,22,2,포수,우,우,187.0,95.0,1.3,0.63,2023,0.185,62,133,119,9,22,4,1,2,34,12,0,0,8,1,25,2,0.286,0.24,5
72,타자,이정범,SSG,67807,31,False,1998-04-10,2021,SSG,26,2,외야수,좌,좌,178.0,88.0,0.6,0.32,2023,0.172,15,33,29,2,5,0,0,0,5,4,0,0,2,0,6,1,0.172,0.212,0
73,타자,최경모,SSG,69802,52,False,1996-06-17,2019,SK,28,4,내야수,우,우,168.0,73.0,0.5,0.37,2023,0.15,28,20,20,6,3,0,0,0,3,1,2,0,0,0,5,0,0.15,0.15,5
74,타자,이재원,SSG,76812,32,False,1988-02-24,2006,SK,36,17,포수,우,우,185.0,98.0,2.5,0.5,2023,0.091,27,48,44,3,4,1,0,0,5,2,0,0,2,0,8,4,0.114,0.128,1
75,타자,고명준,SSG,51868,18,False,2002-07-08,2021,SK,22,2,내야수,우,우,185.0,94.0,0.9,0.3,2023,0.0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0
76,타자,고효준,SSG,72523,15,False,1983-02-08,2002,롯데,41,21,투수,좌,좌,179.0,81.0,1.1,1.53,2023,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
77,타자,노경은,SSG,73211,38,False,1984-03-11,2003,두산,40,20,투수,우,우,187.0,100.0,3.5,2.7,2023,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
78,타자,류효승,SSG,50868,63,False,1996-07-16,2020,SK,28,3,외야수,우,우,190.0,100.0,0.5,0.31,2023,0.0,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.25,0
79,타자,손아섭,NC,77532,31,False,1988-03-18,2007,롯데,36,16,외야수,좌,우,174.0,84.0,0.8,5.0,2023,0.339,140,609,551,97,187,36,3,5,244,65,14,3,50,2,67,10,0.443,0.393,2
80,타자,박한결,NC,53992,60,False,2004-04-26,2023,NC,20,0,외야수,우,우,181.0,90.0,1.5,0.31,2023,0.333,12,18,15,3,5,1,0,1,9,5,0,0,3,0,7,0,0.6,0.444,0
81,타자,박건우,NC,79215,37,False,1990-09-08,2009,두산,33,14,외야수,우,우,184.0,80.0,1.0,8.0,2023,0.319,130,533,458,70,146,34,2,12,220,85,7,5,56,9,71,14,0.48,0.397,0
82,타자,박민우,NC,62907,2,False,1993-02-06,2012,NC,31,11,내야수,좌,우,185.0,80.0,1.6,10.0,2023,0.316,124,509,452,76,143,20,7,2,183,46,26,7,40,9,57,13,0.405,0.381,15
83,타자,서호철,NC,69995,5,False,1996-10-16,2020,NC,27,3,내야수,우,우,179.0,85.0,0.3,1.2,2023,0.287,114,435,397,50,114,17,3,5,152,41,4,5,20,8,51,9,0.383,0.331,14
84,타자,박대온,NC,64944,30,False,1995-08-28,2014,NC,28,9,포수,우,우,182.0,85.0,1.0,0.4,2023,0.286,25,33,28,6,8,3,0,0,11,3,0,0,3,1,8,0,0.393,0.364,3
85,타자,권희동,NC,63963,36,False,1990-12-30,2013,NC,33,10,외야수,우,우,177.0,85.0,0.3,1.5,2023,0.285,96,373,309,33,88,16,0,7,125,63,2,0,49,6,50,4,0.405,0.388,2
86,타자,최보성,NC,68909,49,False,1998-10-16,2018,NC,25,5,내야수,우,우,181.0,88.0,0.4,0.32,2023,0.263,12,21,19,2,5,0,0,0,5,0,0,0,2,0,2,1,0.263,0.333,1
87,타자,최정원,NC,69992,14,False,2000-06-24,2020,NC,24,3,내야수,좌,우,176.0,70.0,0.5,0.66,2023,0.26,39,56,50,12,13,3,2,0,20,5,4,1,1,3,13,1,0.4,0.315,0
88,타자,윤형준,NC,63905,52,False,1994-01-31,2013,NC,30,10,내야수,우,우,186.0,97.0,0.7,0.65,2023,0.252,82,236,218,17,55,12,1,5,84,27,1,1,10,3,58,6,0.385,0.291,4
89,타자,천재환,NC,67905,23,False,1994-04-01,2022,NC,30,1,외야수,우,우,181.0,83.0,0.0,0.5,2023,0.239,78,179,163,12,39,7,1,2,54,17,2,3,8,4,44,5,0.331,0.288,0
90,타자,김형준,NC,68912,25,False,1999-11-02,2018,NC,24,5,포수,우,우,187.0,98.0,1.5,0.58,2023,0.236,26,82,72,10,17,2,0,6,37,13,0,0,8,1,24,3,0.514,0.321,2
91,타자,오영수,NC,68904,34,False,2000-01-30,2018,NC,24,5,내야수,좌,우,178.0,93.0,1.0,0.72,2023,0.236,70,238,208,21,49,9,1,4,72,24,3,3,17,5,55,5,0.346,0.305,8
92,타자,도태훈,NC,66965,16,False,1993-03-18,2016,NC,31,7,내야수,좌,우,184.0,85.0,0.0,0.8,2023,0.234,117,302,239,41,56,6,0,5,77,23,2,1,38,17,48,8,0.322,0.376,4
93,타자,김주원,NC,51907,7,False,2002-07-30,2021,NC,22,2,내야수,양,우,185.0,83.0,1.5,1.6,2023,0.233,127,474,403,56,94,9,2,10,137,54,15,3,44,15,106,6,0.34,0.328,30
94,타자,김성욱,NC,62934,38,False,1993-05-01,2012,NC,31,11,외야수,우,우,181.0,83.0,0.7,0.95,2023,0.223,93,204,179,28,40,10,0,6,68,16,6,1,16,5,63,7,0.38,0.303,0
95,타자,김한별,NC,50902,68,False,2001-01-18,2022,NC,23,1,내야수,우,우,177.0,85.0,0.0,0.38,2023,0.216,79,105,97,8,21,0,1,0,23,4,0,3,4,2,23,6,0.237,0.262,5
96,타자,김수윤,NC,67900,3,False,1998-07-16,2017,NC,26,6,내야수,우,우,180.0,83.0,0.4,0.32,2023,0.214,16,15,14,0,3,0,0,0,3,2,0,0,1,0,4,0,0.214,0.267,1
97,타자,박세혁,NC,62244,10,False,1990-01-09,2012,두산,34,11,포수,좌,우,181.0,86.0,0.6,7.0,2023,0.211,88,283,242,35,51,9,3,6,84,32,1,1,30,4,43,3,0.347,0.307,1
98,타자,조현진,NC,51701,46,False,2002-09-10,2023,NC,21,0,내야수,좌,우,182.0,69.0,0.5,0.31,2023,0.2,10,5,5,0,1,0,0,0,1,0,0,0,0,0,1,1,0.2,0.2,0
99,타자,한석현,NC,64101,33,False,1994-05-17,2020,LG,30,3,외야수,좌,좌,181.0,73.0,0.5,0.39,2023,0.2,27,66,60,5,12,1,0,0,13,2,2,1,4,0,20,2,0.217,0.25,2
100,타자,안중열,NC,64022,1,False,1995-09-01,2014,KT,28,9,포수,우,우,176.0,87.0,1.3,0.71,2023,0.195,77,177,154,15,30,6,0,4,48,17,0,0,16,2,45,6,0.312,0.276,5
101,타자,박주찬,NC,69900,6,False,1996-01-11,2023,NC,28,0,내야수,우,우,178.0,84.0,0.0,0.31,2023,0.143,5,14,14,1,2,0,0,0,2,0,0,0,0,0,2,0,0.143,0.143,1
102,타자,오장한,NC,51991,30,False,2002-05-20,2021,NC,22,2,외야수,좌,우,183.0,95.0,0.8,0.33,2023,0.143,3,8,7,2,1,0,0,0,1,0,0,0,1,0,5,0,0.143,0.25,0
103,타자,박영빈,NC,50906,9,False,1997-07-16,2023,NC,27,0,외야수,좌,우,182.0,88.0,0.0,0.32,2023,0.071,41,17,14,11,1,1,0,0,2,0,4,2,1,0,6,0,0.143,0.133,0
104,타자,김시훈,NC,68928,21,False,1999-02-24,2018,NC,25,5,투수,우,우,188.0,95.0,2.0,1.1,2023,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
105,타자,류진욱,NC,65949,41,False,1996-10-10,2015,NC,27,8,투수,우,우,189.0,88.0,1.0,1.65,2023,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
106,타자,오태양,NC,51996,50,False,2002-04-25,2021,NC,22,2,내야수,우,우,180.0,78.0,0.6,0.33,2023,0.0,21,3,3,4,0,0,0,0,0,0,3,3,0,0,3,0,0.0,0.0,1
107,타자,양의지,두산,76232,25,False,1987-06-05,2006,두산,37,17,포수,우,우,180.0,95.0,0.3,5.0,2023,0.305,129,510,439,56,134,23,0,17,208,68,8,0,57,11,56,20,0.474,0.396,3
108,타자,홍성호,두산,66233,44,False,1997-07-15,2016,두산,27,7,외야수,좌,우,187.0,98.0,0.7,0.33,2023,0.292,21,51,48,6,14,4,0,0,18,5,0,1,2,1,14,0,0.375,0.333,1
109,타자,정수빈,두산,79231,31,False,1990-10-07,2009,두산,33,14,외야수,좌,좌,175.0,70.0,0.6,6.0,2023,0.287,137,583,498,75,143,14,11,2,185,33,39,8,64,7,63,2,0.371,0.375,0
110,타자,김재호,두산,74206,52,False,1985-03-21,2004,두산,39,19,내야수,우,우,181.0,75.0,2.0,3.0,2023,0.283,91,302,247,32,70,13,0,3,92,29,4,0,30,8,24,11,0.372,0.376,10
111,타자,양석환,두산,64153,53,False,1991-07-15,2014,LG,33,9,내야수,우,우,185.0,90.0,0.9,3.0,2023,0.281,140,582,524,73,147,28,0,21,238,89,4,0,41,6,133,9,0.454,0.333,10
112,타자,허경민,두산,79240,13,False,1990-08-26,2009,두산,33,14,내야수,우,우,176.0,69.0,1.3,6.0,2023,0.268,130,475,429,44,115,23,1,7,161,48,9,3,35,6,26,6,0.375,0.328,5
113,타자,강승호,두산,63123,23,False,1994-02-09,2013,LG,30,10,내야수,우,우,178.0,88.0,2.0,2.55,2023,0.265,127,459,419,51,111,18,6,7,162,59,13,6,27,6,110,12,0.387,0.316,16
114,타자,김인태,두산,63257,33,False,1994-07-03,2013,두산,30,10,외야수,좌,좌,178.0,78.0,2.0,0.9,2023,0.255,47,115,98,8,25,5,0,1,33,14,2,1,15,1,26,1,0.337,0.36,1
115,타자,이유찬,두산,67207,7,False,1998-08-05,2017,두산,26,6,내야수,우,우,175.0,68.0,0.6,0.85,2023,0.243,104,239,210,31,51,7,2,1,65,16,12,5,20,3,51,0,0.31,0.316,16
116,타자,양찬열,두산,50293,57,False,1997-05-25,2020,두산,27,3,외야수,좌,우,179.0,84.0,0.4,0.4,2023,0.239,44,99,88,15,21,2,2,0,27,6,3,2,9,1,23,1,0.307,0.313,0
117,타자,전민재,두산,68205,15,False,1999-06-30,2018,두산,25,5,내야수,우,우,181.0,73.0,0.7,0.34,2023,0.235,19,18,17,3,4,2,0,0,6,1,0,3,0,0,3,2,0.353,0.235,0
118,타자,송승환,두산,69203,8,False,2000-10-28,2019,두산,23,4,외야수,우,우,183.0,93.0,1.0,0.35,2023,0.229,30,76,70,10,16,3,1,0,21,4,0,1,4,0,16,2,0.3,0.27,0
119,타자,박준영,두산,66928,9,False,1997-08-05,2016,NC,27,7,내야수,우,우,180.0,90.0,2.0,0.7,2023,0.228,51,138,127,16,29,8,2,4,53,17,2,1,9,2,53,0,0.417,0.290,4
120,타자,서예일,두산,66203,16,False,1993-06-19,2016,두산,31,7,내야수,양,우,178.0,83.0,0.6,0.34,2023,0.222,5,10,9,2,2,0,0,0,2,1,0,0,0,0,2,0,0.222,0.2,1
121,타자,김재환,두산,78224,32,False,1988-09-22,2008,두산,35,15,외야수,좌,우,183.0,90.0,1.5,15.0,2023,0.22,132,484,405,40,89,15,0,10,134,46,3,1,72,5,100,8,0.331,0.343,1
122,타자,조수행,두산,66209,51,False,1993-08-30,2016,두산,30,7,외야수,좌,우,178.0,73.0,1.4,0.95,2023,0.219,126,249,219,41,48,2,1,1,55,17,26,6,23,2,38,2,0.251,0.298,2
123,타자,박계범,두산,64468,14,False,1996-01-11,2014,삼성,28,9,내야수,우,우,177.0,84.0,1.1,0.85,2023,0.219,78,194,169,18,37,6,0,2,49,15,2,2,15,2,44,4,0.290,0.286,9
